From_1,From_2,From_3,From_4,Base symbol,Base unit,Conversion,Type,Dimension,VALID,
,,,,blank,blank,0.0000000000000000E+00,blank,blank,TRUE,
ct,,,carat_metric,kg,kilogram,2.0000000000000000E-04,mass,M,TRUE,
gr,,,grain,kg,kilogram,6.4798910000000000E-05,mass,M,TRUE,
ozm,,,ounce_mass_(avoirdupois),kg,kilogram,2.8349523125000000E-02,mass,M,TRUE,
lbm,,,pound_mass_(avoirdupois),kg,kilogram,4.5359237000000000E-01,mass,M,TRUE,
cwt,,,hundredweight_(short),kg,kilogram,4.5359237000000000E+01,mass,M,TRUE,
cwt_l,,,hundredweight_(long),kg,kilogram,5.0802345440000000E+01,mass,M,TRUE,
tonm,,,ton_(short),kg,kilogram,9.0718474000000000E+02,mass,M,TRUE,
ton_l,,,ton_(long),kg,kilogram,1.0160469088000000E+03,mass,M,TRUE,
AT,,,ton_(assay),kg,kilogram,2.9166666666666700E-02,mass,M,TRUE,
ton_met,,,ton_(metric),kg,kilogram,1.0000000000000000E+03,mass,M,TRUE,
dwt,,,pennyweight,kg,kilogram,1.5551738400000000E-03,mass,M,TRUE,
ozm_t,,,ounce_(troy_or_apothecary),kg,kilogram,3.1103476800000000E-02,mass,M,TRUE,
lbm_t,,,pound_mass_(troy_or_apothecary),kg,kilogram,3.7324172160000000E-01,mass,M,TRUE,
slug,,,slug,kg,kilogram,1.4593903000000000E+01,mass,M,TRUE,
Yg,,,yottagram,kg,kilogram,1.0000000000000000E+21,mass,M,TRUE,
Zg,,,zettagram,kg,kilogram,1.0000000000000000E+18,mass,M,TRUE,
Eg,,,exagram,kg,kilogram,1.0000000000000000E+15,mass,M,TRUE,
Pg,,,petagram,kg,kilogram,1.0000000000000000E+12,mass,M,TRUE,
Tg,,,teragram,kg,kilogram,1.0000000000000000E+09,mass,M,TRUE,
Gg,,,gigagram,kg,kilogram,1.0000000000000000E+06,mass,M,TRUE,
Mg,,,megagram,kg,kilogram,1.0000000000000000E+03,mass,M,TRUE,
kg,,,kilogram,kg,kilogram,1.0000000000000000E+00,mass,M,TRUE,
hg,,,hectogram,kg,kilogram,1.0000000000000000E-01,mass,M,TRUE,
dag,,,decagram,kg,kilogram,1.0000000000000000E-02,mass,M,TRUE,
g,,,gram,kg,kilogram,1.0000000000000000E-03,mass,M,TRUE,
dg,,,decigram,kg,kilogram,1.0000000000000000E-04,mass,M,TRUE,
cg,,,centigram,kg,kilogram,1.0000000000000000E-06,mass,M,TRUE,
mg,,,milligram,kg,kilogram,1.0000000000000000E-06,mass,M,TRUE,
ug,,,microgram,kg,kilogram,1.0000000000000000E-09,mass,M,TRUE,
ng,,,nanogram,kg,kilogram,1.0000000000000000E-12,mass,M,TRUE,
pg,,,picogram,kg,kilogram,1.0000000000000000E-15,mass,M,TRUE,
fg,,,femtogram,kg,kilogram,1.0000000000000000E-18,mass,M,TRUE,
ag,,,attogram,kg,kilogram,1.0000000000000000E-21,mass,M,TRUE,
zg,,,zeptogram,kg,kilogram,1.0000000000000000E-24,mass,M,TRUE,
yg,,,yoctogram,kg,kilogram,1.0000000000000000E-27,mass,M,TRUE,
shake,,,shake,s,second,1.0000000000000000E-08,time,t,TRUE,
jiffy,,,jiffy,s,second,1.6666666666666700E-02,time,t,TRUE,
s,sec,,second,s,second,1.0000000000000000E+00,time,t,TRUE,
min,,,minute,s,second,6.0000000000000000E+01,time,t,TRUE,
h,hr,,hour,s,second,3.6000000000000000E+03,time,t,TRUE,
d,,,day,s,second,8.6400000000000000E+04,time,t,TRUE,
wk,,,week,s,second,6.0480000000000000E+05,time,t,TRUE,
fortnight,,,fortnight,s,second,1.2096000000000000E+06,time,t,TRUE,
yr,y,,year,s,second,3.1536000000000000E+07,time,t,TRUE,
s_sid,,,second_(sidereal),s,second,9.9726960000000000E-01,time,t,FALSE,
min_sid,,,minute_(sidereal),s,second,5.9836176000000000E+01,time,t,TRUE,
h_sid,,,hour_(sidereal),s,second,3.5901705600000000E+03,time,t,TRUE,
d_sid,,,day_(sidereal),s,second,8.6164093440000000E+04,time,t,TRUE,
yr_sid,y_sid,,year_(sidereal),s,second,1.3104122544000000E+06,time,t,TRUE,
yr_trop,y_trop,,year_(tropical),s,second,3.1556930000000000E+07,time,t,FALSE,
shake2,shake^2,,square_shake,s2,square second,1.0000000000000000E-16,square time,t^2,TRUE,
jiffy2,jiffy^2,,square_jiffy,s2,square second,2.7777777777777800E-04,square time,t^2,TRUE,
s2,s^2,,square_second,s2,square second,1.0000000000000000E+00,square time,t^2,TRUE,
min2,min^2,,square_minute,s2,square second,3.6000000000000000E+03,square time,t^2,TRUE,
h2,h^2,,square_hour,s2,square second,1.2960000000000000E+07,square time,t^2,TRUE,
d2,d^2,,square_day,s2,square second,7.4649600000000000E+09,square time,t^2,TRUE,
wk2,wk^2,,square_week,s2,square second,3.6578304000000000E+11,square time,t^2,TRUE,
fortnight2,fortnight^2,,square_fortnight,s2,square second,1.4631321600000000E+12,square time,t^2,TRUE,
yr2,yr^2,,square_year,s2,square second,9.9451929600000000E+14,square time,t^2,TRUE,
s_sid2,s_sid^2,,square_second_(sidereal),s2,square second,9.9454665508416000E-01,square time,t^2,TRUE,
min_sid2,min_sid^2,,square_minute_(sidereal),s2,square second,3.5803679583029800E+03,square time,t^2,TRUE,
h_sid2,h_sid^2,,square_hour_(sidereal),s2,square second,1.2889324649890700E+07,square time,t^2,TRUE,
d_sid2,d_sid^2,,square_day_(sidereal),s2,square second,7.4242509983370500E+09,square time,t^2,TRUE,
yr_sid2,yr_sid^2,,square_year_(sidereal),s2,square second,1.7171802764816900E+12,square time,t^2,TRUE,
yr_trop2,yr_trop^2,,square_year_(tropical),s2,square second,9.9583983102490000E+14,square time,t^2,TRUE,
shake3,shake^3,,cubic_shake,s3,cubic second,1.0000000000000000E-24,cubic time,t^3,TRUE,
jiffy3,jiffy^3,,cubic_jiffy,s3,cubic second,4.6296296296296300E-06,cubic time,t^3,TRUE,
s3,s^3,,cubic_second,s3,cubic second,1.0000000000000000E+00,cubic time,t^3,TRUE,
min3,min^3,,cubic_minute,s3,cubic second,2.1600000000000000E+05,cubic time,t^3,TRUE,
h3,h^3,,cubic_hour,s3,cubic second,4.6656000000000000E+10,cubic time,t^3,TRUE,
d3,d^3,,cubic_day,s3,cubic second,6.4497254400000000E+14,cubic time,t^3,TRUE,
wk3,wk^3,,cubic_week,s3,cubic second,2.2122558259200000E+17,cubic time,t^3,TRUE,
fortnight3,fortnight^3,,cubic_fortnight,s3,cubic second,1.7698046607360000E+18,cubic time,t^3,TRUE,
yr3,yr^3,,cubic_year,s3,cubic second,3.1363160518656000E+22,cubic time,t^3,TRUE,
s_sid3,s_sid^3,,cubic_second_(sidereal),s3,cubic second,9.9183114489711800E-01,cubic time,t^3,TRUE,
min_sid3,min_sid^3,,cubic_minute_(sidereal),s3,cubic second,2.1423552729777800E+05,cubic time,t^3,TRUE,
h_sid3,h_sid^3,,cubic_hour_(sidereal),s3,cubic second,4.6274873896319900E+10,cubic time,t^3,TRUE,
